-112.506968,45.98186,-112.506968,45.983586,-112.504872,45.983586,-112.504872,45.98186,-112.506968,45.98186
-112.519856,45.983586,-112.519856,45.987772,-112.506968,45.987772,-112.506968,45.983586,-112.519856,45.983586
-112.504872,45.919281,-112.504872,45.98186,-112.41643,45.98186,-112.41643,45.919281,-112.504872,45.919281
-112.574945,45.987772,-112.574945,46.004944,-112.519856,46.004944,-112.519856,45.987772,-112.574945,45.987772
-112.520691,42.912313,-112.520691,42.913255,-112.442664,42.913255,-112.442664,42.912313,-112.520691,42.912313
-103.231695,46.852253,-103.231695,46.898828,-102.096848,46.898828,-102.096848,46.852253,-103.231695,46.852253
-103.231698,46.852006,-103.231698,46.898593,-102.096839,46.898593,-102.096839,46.852006,-103.231698,46.852006
-72.135042,42.12948,-72.135042,42.243211,-71.592868,42.243211,-71.592868,42.12948,-72.135042,42.12948
-112.716565,45.257432,-112.716565,45.530659,-112.649594,45.530659,-112.649594,45.257432,-112.716565,45.257432
-112.853857,44.555642,-112.853857,45.53022,-112.309297,45.53022,-112.309297,44.555642,-112.853857,44.555642
